Year;Song 1;Song 2;Song 3
1959;"The Battle of New Orleans - Johnny Horton";"Mack the Knife - Bobby Darin";"Personality - Lloyd Price"
1960;"Theme from A Summer Place - Percy Faith";"He'll Have to Go - Jim Reeves";"Cathy's Clown - The Everly Brothers"
1961;"Tossin' and Turnin' - Bobby Lewis";"I Fall to Pieces - Patsy Cline";"Michael - The Highwaymen"
1962;"Stranger on the Shore - Acker Bilk";"I Can't Stop Loving You - Ray Charles";"Mashed Potato Time - Dee Dee Sharp"
1963;"Surfin' U.S.A. - The Beach Boys";"The End of the World - Skeeter Davis";"Rhythm of the Rain - The Cascades"
1964;"I Want to Hold Your Hand - The Beatles";"She loves you - The Beatles";"Hello, Dolly! - Louis Armstrong"
1965;"Wooly Bully - Sam the Sham and the Pharaohs";"I Can't Help Myself (Sugar Pie Honey Bunch) - Four Tops";"(I Can't Get No) Satisfaction - The Rolling Stones"
1966;"California Dreamin' - The Mamas & the Papas";"96 Tears - ? and the Mysterians";"What Becomes of the Brokenhearted - Jimmy Ruffin"
1967;"To Sir With Love - Lulu";"The Letter - The Box Tops";"Ode to Billie Joe - Bobbie Gentry"
1968;"Hey Jude - The Beatles";"Love is Blue - Paul Mauriat";"Honey - Bobby Goldsboro"
1969;"Sugar, Sugar - The Archies";"Aquarius/Let the Sunshine In - The 5th Dimension";"I Can't Get Next to You - The Temptations"
1970;"Bridge Over Troubled Water - Simon & Garfunkel";"(They Long to Be) Close to You - The Carpenters";"American Woman - The Guess Who"
1971;"Joy to the World - Three Dog Night";"Maggie May/Reason to Believe - Rod Stewart";"It's Too Late/I Feel the Earth Move - Carole King"
1972;"The First Time Ever I Saw Your Face - Roberta Flack";"Alone Again (Naturally) - Gilbert O'Sullivan";"American Pie - Don McLean"
1973;"Tie a Yellow Ribbon Round the Ole Oak Tree - Tony Orlando and Dawn";"Bad, Bad Leroy Brown - Jim Croce";"Killing Me Softly with His Song - Roberta Flack"
1974;"The Way We Were - Barbra Streisand";"Seasons in the Sun - Terry Jacks";"Love's Theme - Love Unlimited Orchestra"
1975;"Love Will Keep Us Together - Captain & Tennille";"Rhinestone Cowboy - Glen Campbell";"Philadelphia Freedom - Elton John"
1976;"Silly Love Songs - Wings";"Don't Go Breaking My Heart - Elton John & Kiki Dee";"Disco Lady - Johnnie Taylor"
1977;"Tonight's the Night (Gonna Be Alright) - Rod Stewart";"I Just Want to Be Your Everything - Andy Gibb";"Best of My Love - The Emotions"
1978;"Shadow Dancing - Andy Gibb";"Night Fever - Bee Gees";"You Light Up My Life - Debby Boone"
1979;"My Sharona - The Knack";"Bad Girls - Donna Summer";"Le Freak - Chic"
1980;"Call Me - Blondie";"Another Brick in the Wall, Part II - Pink Floyd";"Magic - Olivia Newton-John"
1981;"Bette Davis Eyes - Kim Carnes";"Endless Love - Diana Ross & Lionel Richie";"Lady - Kenny Rogers"
1982;"Physical - Olivia Newton-John";"Eye of the Tiger - Survivor";"I Love Rock 'n Roll - Joan Jett & The Blackhearts"
1983;"Every Breath You Take - The Police";"Billie Jean - Michael Jackson";"Flashdance... What a Feeling - Irene Cara"
1984;"When Doves Cry - Prince";"What's Love Got to Do with It - Tina Turner";"Say, Say, Say - Paul McCartney and Michael Jackson"
1985;"Careless Whisper - Wham!";"Like a Virgin - Madonna";"Wake Me Up Before You Go-Go - Wham!"
1986;"That's What Friends Are For - Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)";"Say You, Say Me - Lionel Richie";"I Miss You - Klymaxx"
1987;"Walk Like An Egyptian - The Bangles";"Alone - Heart";"Shake You Down - Gregory Abbott"
1988;"Faith - George Michael";"Need You Tonight - INXS";"Got My Mind Set on You - George Harrison"
1989;"Look Away - Chicago";"My Prerogative - Bobby Brown";"Every Rose Has Its Thorn - Poison"
1990;"Hold On - Wilson Phillips";"It Must Have Been Love - Roxette";"Nothing Compares 2 U - Sinéad O'Connor"
1991;"(Everything I Do) I Do It for You - Bryan Adams";"I Wanna Sex You Up - Color Me Badd";"Gonna Make You Sweat (Everybody Dance Now) - C+C Music Factory"
1992;"End of the Road - Boyz II Men";"Baby Got Back - Sir Mix-a-Lot";"Jump - Kris Kross"
1993;"I Will Always Love You - Whitney Houston";"Whoomp! (There It Is) - Tag Team";"Can't Help Falling in Love - UB40"
1994;"The Sign - Ace of Base";"I Swear - All-4-One";"I'll Make Love to You - Boyz II Men"
1995;"Gangsta's Paradise - Coolio featuring L.V.";"Waterfalls - TLC";"Runaway - Janet Jackson"
1996;"Macarena (Bayside Boys Mix) - Los del Rio";"One Sweet Day - Mariah Carey and Boyz II Men";"Because You Loved Me - Celine Dion"
1997;"Candle in the Wind 1997 / Something About the Way You Look Tonight - Elton John";"You Were Meant for Me / Foolish Games - Jewel";"I'll Be Missing You - Puff Daddy and Faith Evans featuring 112"
1998;"Too Close - Next";"The Boy Is Mine - Brandy and Monica";"You're Still the One - Shania Twain"
1999;"Believe - Cher";"No Scrubs - TLC";"Angel of Mine - Monica"
2000;"Breathe - Faith Hill";"Smooth - Santana featuring Rob Thomas";"Maria Maria - Santana featuring The Product G&B"
2001;"Hanging by a Moment - Lifehouse";"Fallin' - Alicia Keys";"All for You - Janet Jackson"
2002;"How You Remind Me - Nickelback";"Foolish - Ashanti";"Hot in Herre - Nelly"
2003;"In da Club - 50 Cent";"Ignition - R. Kelly";"Get Busy - Sean Paul"
2004;"Yeah! - Usher featuring Lil Jon and Ludacris";"Burn - Usher";"If I Ain't Got You - Alicia Keys"
2005;"We Belong Together - Mariah Carey";"Hollaback Girl - Gwen Stefani";"Let Me Love You - Mario"
2006;"Bad Day - Daniel Powter";"Temperature - Sean Paul";"Promiscuous - Nelly Furtado featuring Timbaland"
2007;"Irreplaceable - Beyonce";"Umbrella - Rihanna featuring Jay-Z";"The Sweet Escape - Gwen Stefani featuring Akon"
2008;"Low - Flo Rida featuring T-Pain";"Bleeding Love - Leona Lewis";"No One - Alicia Keys"
2009;"Boom Boom Pow - The Black Eyed Peas";"Poker Face - Lady Gaga";"Just Dance - Lady Gaga featuring Colby O'Donis"
2010;"Tik Tok - Kesha";"Need You Now - Lady Antebellum";"Hey, Soul Sister - Train"
2011;"Rolling in the Deep - Adele";"Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock";"Firework - Katy Perry"
2012;"Somebody That I Used to Know - Gotye featuring Kimbra";"Call Me Maybe - Carly Rae Jepsen";"We Are Young - Fun featuring Janelle Mon�e"
2013;"Thrift Shop - Macklemore & Ryan Lewis featuring Wanz";"Blurred Lines - Robin Thicke featuring T.I. and Pharrell Williams";"Radioactive - Imagine Dragons"
2014;"Happy - Pharrell Williams";"Dark Horse - Katy Perry featuring Juicy J";"All of Me - John Legend"
2015;"Uptown Funk - Mark Ronson featuring Bruno Mars";"Thinking Out Loud - Ed Sheeran";"See You Again - Wiz Khalifa featuring Charlie Puth"
2016;"Love Yourself - Justin Bieber";"Sorry - Justin Bieber";"One Dance - Drake featuring Wizkid and Kyla"
2017;"Shape of You - Ed Sheeran";"Despacito (Remix) - Luis Fonsi and Daddy Yankee featuring Justin Bieber";"That's What I Like - Bruno Mars"
2018;"God's Plan - Drake";"Perfect - Ed Sheeran";"Meant to Be - Bebe Rexha featuring Florida Georgia Line"
